cluster_id	action	victim_path_on_gws	quarantine_path	survivor_path	victim_score	survivor_score
53	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.39.59_surrog.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.39.59_surrog.png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-12-10 v 7.39.59.png	-0.4	19.6
54	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.40.52.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.40.52.png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-12-10 v 7.40.52.png	8.5	18.5
54	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.40.52_surrog.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.40.52_surrog.png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-12-10 v 7.40.52.png	-1.5	18.5
55	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/.staging/mega/GML-Backup/Pictures/printscreens/Snímek obrazovky 2025-12-10 v 7.41.07.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/.staging/mega/GML-Backup/Pictures/printscreens/Snímek obrazovky 2025-12-10 v 7.41.07.png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-12-10 v 7.41.07.png	8.8	18.8
55	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.41.07_surrog.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.41.07_surrog.png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-12-10 v 7.41.07.png	-1.2	18.8
56	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/.staging/mega/GML-Backup/Pictures/printscreens/Snímek obrazovky 2025-12-10 v 7.41.33.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/.staging/mega/GML-Backup/Pictures/printscreens/Snímek obrazovky 2025-12-10 v 7.41.33.png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-12-10 v 7.41.33.png	9.9	19.9
56	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.41.33_surrog.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.41.33_surrog.png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-12-10 v 7.41.33.png	-0.1	19.9
57	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.41.51.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.41.51.png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-12-10 v 7.41.51.png	9.3	19.3
57	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.41.51_surrog.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.41.51_surrog.png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-12-10 v 7.41.51.png	-0.7	19.3
58	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.42.53.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.42.53.png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-12-10 v 7.42.53.png	8.6	18.6
58	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.42.53_surrog.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.42.53_surrog.png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-12-10 v 7.42.53.png	-1.4	18.6
59	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.52.34.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.52.34.png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-12-10 v 7.52.34.png	10.2	20.2
59	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.52.34_surrog.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.52.34_surrog.png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-12-10 v 7.52.34.png	0.2	20.2
60	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.55.57.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.55.57.png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-12-10 v 7.55.57.png	13.6	23.6
60	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.55.57_surrog.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Snímek obrazovky 2025-12-10 v 7.55.57_surrog.png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-12-10 v 7.55.57.png	3.6	23.6
66	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/unknown/00/2021-12-02 07-26-12 (2).jpeg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/unknown/00/2021-12-02 07-26-12 (2).jpeg	gws-backup:GML-Consolidated/unknown/00/2021-12-02 07-26-12 (3).jpeg	8.3	8.3
66	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/.staging/mega/GML-Backup/pcloud/Automatic Upload/Marek - iPhone/2021-12-02 07-26-12 (3).jpeg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/.staging/mega/GML-Backup/pcloud/Automatic Upload/Marek - iPhone/2021-12-02 07-26-12 (3).jpeg	gws-backup:GML-Consolidated/unknown/00/2021-12-02 07-26-12 (3).jpeg	-1.7	8.3
66	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/.staging/mega/GML-Backup/pcloud/Automatic Upload/Marek - iPhone/2021-12-02 07-26-12 (2).jpeg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/.staging/mega/GML-Backup/pcloud/Automatic Upload/Marek - iPhone/2021-12-02 07-26-12 (2).jpeg	gws-backup:GML-Consolidated/unknown/00/2021-12-02 07-26-12 (3).jpeg	-1.7	8.3
72	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/unknown/00/Gemini_Generated_Image_xng0zoxng0zoxng0.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/unknown/00/Gemini_Generated_Image_xng0zoxng0zoxng0.png	gws-backup:GML-Consolidated/unknown/00/Gemini_Generated_Image_xng0zoxng0zoxng0 (1).png	15.9	16.3
72	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Gemini_Generated_Image_xng0zoxng0zoxng0 (1).png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Gemini_Generated_Image_xng0zoxng0zoxng0 (1).png	gws-backup:GML-Consolidated/unknown/00/Gemini_Generated_Image_xng0zoxng0zoxng0 (1).png	6.3	16.3
72	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Gemini_Generated_Image_xng0zoxng0zoxng0.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Gemini_Generated_Image_xng0zoxng0zoxng0.png	gws-backup:GML-Consolidated/unknown/00/Gemini_Generated_Image_xng0zoxng0zoxng0 (1).png	5.9	16.3
76	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/unknown/00/Návrh bez názvu (1).png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/unknown/00/Návrh bez názvu (1).png	gws-backup:GML-Consolidated/unknown/00/Návrh bez názvu.png	9.0	12.5
76	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Návrh bez názvu.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Návrh bez názvu.png	gws-backup:GML-Consolidated/unknown/00/Návrh bez názvu.png	2.5	12.5
76	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/2026/03/Návrh bez názvu (1).png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/2026/03/Návrh bez názvu (1).png	gws-backup:GML-Consolidated/unknown/00/Návrh bez názvu.png	-1.0	12.5
79	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/.staging/mega/GML-Backup/Pictures/printscreens/Snímek obrazovky 2025-09-02 v 7.56.01.png	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/.staging/mega/GML-Backup/Pictures/printscreens/Snímek obrazovky 2025-09-02 v 7.56.01.png	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-09-02 v 7.56.01.png	8.8	18.8
79	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-09-02 v 7.56.01.jpeg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/unknown/00/Snímek obrazovky 2025-09-02 v 7.56.01.jpeg	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-09-02 v 7.56.01.png	7.7	18.8
79	MOVE_TO_QUARANTINE	gws-backup:GML-Consolidated/.staging/mega/GML-Backup/Downloads/Snímek obrazovky 2025-09-02 v 7.56.01.jpeg	gws-backup:GML-Quarantine/perceptual-dedup/GML-Consolidated/.staging/mega/GML-Backup/Downloads/Snímek obrazovky 2025-09-02 v 7.56.01.jpeg	gws-backup:GML-Consolidated/unknown/00/Snímek obrazovky 2025-09-02 v 7.56.01.png	-2.3	18.8
